scheduler,trials,frames,users_per_macro,include_mobility,include_orientation,include_nlos,nlos_profile,resource_control,mean_delta_used,std_delta_used,delta_switch_rate,mean_center_pool_size,mean_edge_pool_size,frac_delta_0_5,frac_delta_0_6667,frac_delta_0_8,adaptive_delta_enabled,adaptive_ofdma_enabled,adaptive_power_enabled,adaptive_max_users_per_region,adaptive_min_subcarriers_per_user,mean_sinr_db,median_sinr_db,avg_rate_bpshz,p5_rate_bpshz,coverage_continuity_10db,coverage_continuity_20db,outage_probability_10db,outage_probability_20db,avg_outage_duration_frames,p95_outage_duration_frames,link_opportunity_mean_sinr_db,link_opportunity_median_sinr_db,link_opportunity_avg_rate_bpshz,link_opportunity_continuity_10db,link_opportunity_continuity_20db,link_opportunity_outage_probability_10db,link_opportunity_outage_probability_20db,link_opportunity_avg_outage_duration_20db,scheduled_link_continuity_10db,scheduled_link_continuity_20db,service_avg_rate_bpshz_all_users,beam_switching_rate,fairness_over_time,mean_served_fraction,mean_user_throughput_bpshz,p5_user_throughput_bpshz,worst_user_throughput_bpshz,avg_time_between_services_frames,mean_service_gap_frames,p95_service_gap_frames,mean_longest_service_gap_frames,p95_longest_service_gap_frames,starvation_probability_gap10,edge_served_frame_ratio,center_served_frame_ratio,edge_coverage_continuity_10db,edge_coverage_continuity_20db,edge_outage_probability_10db,edge_outage_probability_20db,center_coverage_continuity_10db,center_coverage_continuity_20db,edge_frame_fraction,time_s,experiment,case,seed,wall_time_s
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.121682609289074,-300.0,88.46567510005714,0.0,0.02262645502645502,0.010223280423280419,0.977373544973545,0.9897767195767195,43.019915371171,75.0,26.560718042261477,-300.0,74.53706769355693,0.1058952380952381,0.05204021164021164,0.894104761904762,0.9479597883597883,20.815642717724696,0.16735832180857393,0.07789006450803007,14.72106279453353,0.014943157443157445,0.027085050131440646,0.16640423280423283,14.72106279453353,0.0,0.0,6.506049962996084,4.919458686434062,12.0,13.378571428571428,28.0,0.6446031746031746,0.1655542740025445,0.16534236741378072,0.02309242732415204,0.013416593815741005,0.9769075726758479,0.986583406184259,0.023004883546403686,0.008378208073485709,0.45396825396825397,832.2140333652496,main,combined_mobility_orientation_nlos,1,832.3044230937958
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.201766892035476,-7.620006232308478,184.50722735295884,0.0,0.05871534391534391,0.028223280423280424,0.9412846560846561,0.9717767195767196,48.31784699568557,75.0,29.73955922585646,-300.0,114.32583391161126,0.14756613756613757,0.07100740740740741,0.8524338624338624,0.9289925925925926,31.812509059283954,0.36177576861328054,0.18223360049057788,30.702783614505275,0.014943157443157445,0.06326987179141445,0.16640423280423278,30.702783614505268,0.0,0.0,17.095081158710325,15.796663190823775,63.0,43.14031746031746,75.0,0.9875396825396825,0.20977028940878578,0.13261443886045854,0.09591173138710339,0.06082337311256725,0.9040882686128966,0.9391766268874328,0.03135720339421183,0.004285294973030347,0.45396825396825397,833.7987997531891,main,combined_mobility_orientation_nlos,1,833.8859446048737
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.175659146968087,-9.312191685456664,175.44015078364265,0.0,0.0496031746031746,0.019889947089947086,0.9503968253968254,0.9801100529100529,34.490355254338276,75.0,26.59431871094855,-300.0,73.84166248041255,0.1097957671957672,0.056656084656084654,0.8902042328042328,0.9433439153439154,23.675041164285336,0.37531349468323294,0.1703579501966501,29.19398369421098,0.014943157443157445,0.05363411121664357,0.16640423280423283,29.193983694210978,0.0,0.0,11.98363283307267,10.61569145352128,43.0,35.06896825396825,75.0,0.9788888888888889,0.1755562420791621,0.1605516696697711,0.06469497075850213,0.029899172653751176,0.9353050292414978,0.9701008273462488,0.039817513285883246,0.013529535202622303,0.45396825396825397,844.6710658073425,main,combined_mobility_orientation_nlos,1,844.757728099823
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.062084468870275,-7.475980599539552,182.6456499975039,0.0,0.05658095238095237,0.025501587301587296,0.9434190476190476,0.9744984126984128,32.75945359467824,75.0,28.700776147428297,-300.0,97.08084788895425,0.13025396825396826,0.06427089947089946,0.8697460317460317,0.9357291005291005,22.707205587797237,0.39968415652556205,0.20031595703748686,30.39300926286506,0.014943157443157445,0.06002346080160725,0.16640423280423283,30.393009262865064,0.0,0.0,14.211982578255133,11.656698086683733,47.0,36.91984126984127,75.0,0.9814285714285714,0.20389026301022053,0.13844029512798586,0.08921523773496812,0.04953911962170933,0.9107847622650319,0.9504608803782907,0.033673993183403014,0.008839925134794015,0.45396825396825397,864.8954665660858,main,combined_mobility_orientation_nlos,1,864.9828636646271
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.078219706096366,-300.0,88.58918204636971,0.0,0.022961904761904756,0.010516402116402111,0.9770380952380953,0.9894835978835979,42.518279374317935,75.0,26.386000104356086,-300.0,74.16855783302626,0.10708465608465606,0.05287301587301588,0.8929153439153439,0.9471269841269842,20.68727608921761,0.1678660329823972,0.0791929845056547,14.742552324842533,0.014907764907764907,0.02731867904919052,0.16641481481481482,14.742552324842533,0.0,0.0,6.479987204663519,4.921762927048709,12.0,13.281825396825397,28.0,0.6392857142857142,0.1644055002245444,0.16625400430744458,0.023926278971316564,0.014102930064222611,0.9760737210286834,0.9858970699357774,0.023217923026624062,0.008122545368175721,0.42634920634920637,817.6886303424835,main,combined_mobility_orientation_nlos,2,817.7498226165771
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.036811955554327,-7.117456358733083,188.00063118988922,0.0,0.05966455026455026,0.02883597883597883,0.9403354497354497,0.9711640211640211,48.31280269530428,75.0,29.639007762234577,-300.0,113.100122709039,0.14757671957671958,0.07043280423280424,0.8524232804232804,0.9295671957671958,31.852962506345637,0.36361123329288547,0.18241360578027208,31.286090224533712,0.014907764907764907,0.06484129063303157,0.16641481481481482,31.286090224533716,0.0,0.0,17.315705083318257,15.740278943372097,64.0,43.03507936507936,75.0,0.9858730158730159,0.2090367881184542,0.13237035530522842,0.09645345752255241,0.06172006919664235,0.9035465424774476,0.9382799308033577,0.03234405207939381,0.004264935721399335,0.42634920634920637,837.2685570716858,main,combined_mobility_orientation_nlos,2,837.330239534378
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.979561726460545,-8.415183347846497,176.3549696416097,0.0,0.04999576719576719,0.020366137566137563,0.9500042328042329,0.9796338624338624,34.29607676064165,75.0,26.622931057170884,-300.0,74.36446774855139,0.11122328042328043,0.05810793650793651,0.8887767195767196,0.9418920634920634,23.32149033170885,0.3775709774613304,0.1731601066577222,29.348079614580765,0.014907764907764907,0.05456286861994023,0.16641481481481482,29.348079614580765,0.0,0.0,12.09504555645332,10.542955418445601,43.0,35.105873015873016,75.0,0.9806349206349206,0.17526805907431114,0.15946385140847638,0.06562504829428416,0.030805294589826334,0.9343749517057158,0.9691947054101737,0.039535624867867554,0.013319692337713358,0.42634920634920637,830.2996952533722,main,combined_mobility_orientation_nlos,2,830.3613586425781
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.81115152303399,-300.0,86.69256608976795,0.0,0.02239576719576719,0.010312169312169306,0.9776042328042328,0.9896878306878307,42.88586757153338,75.0,26.486873219293805,-300.0,73.94211334581634,0.10585925925925925,0.05262539682539682,0.8941407407407408,0.9473746031746032,20.673093797626194,0.16469179438280757,0.07795824919991803,14.426101688163259,0.014957099957099958,0.026884009617770214,0.16640529100529103,14.426101688163259,0.0,0.0,6.468263519826762,4.914971143347372,12.0,13.356031746031746,28.0,0.6409523809523809,0.16604752623429522,0.16545116140369936,0.023065340634218372,0.013727994454976772,0.9769346593657816,0.9862720055450233,0.022203399458894064,0.007983087198690045,0.47619047619047616,818.0598466396332,main,combined_mobility_orientation_nlos,3,818.1259996891022
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.955114602962094,-6.975503488722984,184.77863981874364,0.0,0.05717671957671956,0.02606243386243386,0.9428232804232805,0.9739375661375661,33.05099292562933,75.0,28.66665497991551,-300.0,96.79088108394969,0.13115978835978837,0.06436296296296297,0.8688402116402116,0.935637037037037,22.727148879292617,0.4010349610511304,0.20222635807139164,30.749903127169585,0.014907764907764907,0.06122302266202989,0.1664148148148148,30.74990312716959,0.0,0.0,14.21979204533261,11.595636941737569,47.0,36.8815873015873,75.0,0.979047619047619,0.20326965300996588,0.13761955359768893,0.08935232542637768,0.05071391133068799,0.9106476745736223,0.949286088669312,0.03414933438839487,0.008441421480466319,0.42634920634920637,861.8073325157166,main,combined_mobility_orientation_nlos,2,861.8729717731476
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive_ofdma_power_fixed_delta,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,32.0,5.430639857939347,-300.0,46.241628091593206,0.0,0.01827407407407407,0.0009788359788359773,0.9817259259259259,0.999021164021164,70.11325659116227,75.0,3.4276025337675886,-300.0,20.54135313226028,0.0401989417989418,0.003652910052910051,0.9598010582010582,0.99634708994709,62.48244740858716,0.07225490503399362,0.005288228844682667,11.831152978698073,0.014943157443157445,0.06967101093283692,0.25585502645502645,11.831152978698075,0.0,0.0,4.539587451134005,4.828858461284918,11.0,12.667619047619048,28.0,0.5561111111111111,0.26930875600779985,0.24501605767117893,0.03603185033320843,0.0005665050440973856,0.9639681496667916,0.9994334949559026,0.006099244561355402,0.0013573013097074682,0.45396825396825397,1994.33500623703,main,combined_mobility_orientation_nlos,1,1994.4021534919739
